Zone,Population,Evacuees_S1,Evacuees_per_hour,Bus_People,Buses_needed,Bus_speed_y,Bus_speed_fraction,Bus_travel_time
1,80879,52571.35,2190.472917,591.4276875,10,29.335,0.9466,28.2
2,46692,30349.8,1264.575,341.43525,6,30.035,0.9692,23.2
3,30665,19932.25,830.5104167,224.2378125,4,30.363,0.9797,30.6
4,60793,39515.45,1646.477083,444.5488125,7,29.746,0.9598,22.9
5,32185,20920.25,871.6770833,235.3528125,4,30.332,0.9787,17.4
6,36185,23520.25,980.0104167,264.6028125,4,30.25,0.9761,30.7
7,25908,16840.2,701.675,189.45225,3,30.461,0.9829,40.7
8,46399,30159.35,1256.639583,339.2926875,6,30.041,0.9693,29.9
9,38788,25212.2,1050.508333,283.63725,5,30.197,0.9744,19.5
10,29693,19300.45,804.1854167,217.1300625,4,30.383,0.9804,19.4
11,27530,17894.5,745.6041667,201.313125,3,30.427,0.9818,27.5
12,15883,10323.95,430.1645833,116.1444375,2,30.666,0.9895,24.3
