Zone,Population,Scenario 1 (65% willing to evacuate),Scenario 1 divided by 15 hours,1 - Evacuate by bus (27%) = xb,buses needed for evac (60 ppl per bus),y (bus) = -0.0028xb + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by car (57%) = xc,y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,1 - Evacuate by other (16%)
1,80879,52571,3505,946,16,28.341,0.9145,29.2,1998,25.39740836,0.8195091594,5.5,561
2,46692,30350,2023,546,9,29.461,0.9506,23.7,1153,27.76178128,0.895801403,6.6,324
3,30665,19932,1329,359,6,29.986,0.9676,31,757,28.8702086,0.9315675067,6.1,213
4,60793,39515,2634,711,12,28.999,0.9357,23.5,1502,26.78655612,0.864333391,5.8,421
5,32185,20920,1395,377,6,29.937,0.966,17.6,795,28.7650854,0.9281754509,5.2,223
6,36185,23520,1568,423,7,29.806,0.9617,31.2,894,28.4884454,0.9192489884,6.3,251
7,25908,16840,1123,303,5,30.142,0.9726,41.1,640,29.19920272,0.9421833022,6,180
8,46399,30159,2011,543,9,29.471,0.951,30.5,1146,27.78204516,0.8964552664,14,322
9,38788,25212,1681,454,8,29.72,0.959,19.8,958,28.30842192,0.9134400929,4.1,269
10,29693,19300,1287,347,6,30.018,0.9686,19.6,733,28.93743212,0.9337366371,5.5,206
11,27530,17895,1193,322,5,30.089,0.9709,27.8,680,29.0870252,0.9385636217,5.3,191
12,15883,10324,688,186,3,30.471,0.9832,24.4,392,29.89253172,0.9645552489,3,110
